AttackName,IsTargeted,DefenseName,ImageId,PredictedLabel,TrueLabel,TargetClass
random_noise,False,ens_adv_inception_resnet_v2,49591319edeb6b3a,309,309,416
noop,False,ens_adv_inception_resnet_v2,f0dcd519b5499d48,664,664,231
fgsm,False,ens_adv_inception_resnet_v2,c3f452167c39302f,296,296,922
fgsm,False,ens_adv_inception_resnet_v2,4abadb721e74b99b,583,945,781
fgsm,False,ens_adv_inception_resnet_v2,d67b326ef48bb7b7,874,874,546
random_noise,False,ens_adv_inception_resnet_v2,97025d82ec9860dc,676,676,574
noop,False,ens_adv_inception_resnet_v2,89d60f53d478c4f7,668,668,435
step_target_class,True,ens_adv_inception_resnet_v2,73064ceb466612d5,719,719,673
step_target_class,True,ens_adv_inception_resnet_v2,b239b5b3e1642f3b,914,914,746
step_target_class,True,ens_adv_inception_resnet_v2,9a49001b63903f72,806,769,804
step_target_class,True,ens_adv_inception_resnet_v2,5cd8864b6e35df82,866,866,898
noop,False,ens_adv_inception_resnet_v2,4fc263d35a3ad3ee,244,244,123
noop,False,ens_adv_inception_resnet_v2,7a11ae4c1f5e790c,689,689,500
step_target_class,True,ens_adv_inception_resnet_v2,e5cf220f8144c192,706,706,441
random_noise,False,ens_adv_inception_resnet_v2,32c0e4647ce5a812,327,327,743
step_target_class,True,ens_adv_inception_resnet_v2,99f175132cd1c6e2,934,934,459
fgsm,False,ens_adv_inception_resnet_v2,fccfc3563cd562e1,977,977,656
noop,False,ens_adv_inception_resnet_v2,b02b553998809e17,704,704,847
fgsm,False,ens_adv_inception_resnet_v2,b0bb1ea9bcc45800,845,845,456
iter_target_class,True,ens_adv_inception_resnet_v2,820ae900a943d605,888,888,701
random_noise,False,ens_adv_inception_resnet_v2,e071bf346787d971,563,563,990
fgsm,False,ens_adv_inception_resnet_v2,348ac56def3ccd35,916,916,533
fgsm,False,ens_adv_inception_resnet_v2,8c609b06a60af060,499,499,291
fgsm,False,ens_adv_inception_resnet_v2,821aae58dc96b4b2,341,341,575
fgsm,False,ens_adv_inception_resnet_v2,c98a8640dcfaa5e0,747,747,847
random_noise,False,ens_adv_inception_resnet_v2,5d6b9cadb6f9e1cd,896,896,746
step_target_class,True,ens_adv_inception_resnet_v2,564de663adeb8cd5,558,558,133
fgsm,False,ens_adv_inception_resnet_v2,0212aa8aa912ee45,327,327,416
noop,False,ens_adv_inception_resnet_v2,6740e1e89b5bbab4,981,981,685
iter_target_class,True,ens_adv_inception_resnet_v2,328d99215b19c8c7,806,806,926
iter_target_class,True,ens_adv_inception_resnet_v2,629138193e021cdf,885,885,739
iter_target_class,True,ens_adv_inception_resnet_v2,e9811aebe8bed6e5,336,336,410
iter_target_class,True,ens_adv_inception_resnet_v2,8f07c92f0af97807,806,806,108
iter_target_class,True,ens_adv_inception_resnet_v2,30b922dbfdbffd11,610,610,972
iter_target_class,True,ens_adv_inception_resnet_v2,348ac56def3ccd35,916,916,533
