date_time	status	id	punnet_count	image_path	berry_count	berry_grade	reject_count	min_distance	max_distance
2017-01-05	Pass	505	505	505	505	0	0	505	505
2017-01-08	Pass	607	607	607	607	0	0	607	607
2017-02-01	Pass	472	472	472	472	0	0	472	472
2017-03-03	Pass	289	289	289	289	0	0	289	289
2017-03-06	Pass	2366	2366	2366	2366	0	0	2366	2366
2017-03-07	Pass	1667	1667	1667	1667	0	0	1667	1667
2017-03-09	Pass	1590	1590	1590	1590	0	0	1590	1590
2017-03-10	Pass	2890	2890	2890	2890	0	0	2890	2890
2017-03-12	Pass	1150	1150	1150	1150	0	0	1150	1150
2017-03-13	Pass	286	286	286	286	0	0	286	286
2017-03-16	Pass	646	646	646	646	0	0	646	646
2017-03-21	Pass	1460	1460	1460	1460	0	0	1460	1460
2017-03-22	Pass	1934	1934	1934	1934	0	0	1934	1934
2017-03-23	Pass	1343	1343	1343	1343	0	0	1343	1343
2017-03-24	Pass	1696	1696	1696	1696	0	0	1696	1696
2017-03-25	Pass	732	732	732	732	0	0	732	732
2017-03-27	Pass	1097	1097	1097	1097	0	0	1097	1097
2017-03-28	Pass	1772	1772	1772	1772	0	0	1772	1772
2017-03-30	Pass	453	453	453	453	0	0	453	453
2017-03-31	Pass	1110	1110	1110	1110	0	0	1110	1110
2017-04-03	Fail	409	409	409	409	0	0	409	409
2017-04-03	Pass	2992	2992	2992	2992	0	0	2992	2992
2017-04-06	Pass	2092	2092	2092	2092	0	0	2092	2092
2017-04-09	Pass	2978	2978	2978	2978	0	0	2978	2978
2017-04-17	Pass	1601	1601	1601	1601	0	0	1601	1601
2017-04-18	Pass	1627	1627	1627	1627	0	0	1627	1627
2017-05-04	Pass	262	262	262	262	0	0	262	262
2017-07-03	Fail	251	251	251	251	0	0	251	251
2017-07-14	Fail	3080	3080	3080	3080	0	0	3080	3080
2017-07-15	Fail	1583	1583	1583	1583	0	0	1583	1583
2017-07-17	Fail	7943	7943	7943	7943	0	0	7943	7943
2017-07-17	Pass	1634	1634	1634	1634	0	0	1634	1634
2017-07-18	Fail	355	355	355	355	0	0	355	355
2017-07-18	Pass	3744	3744	3744	3744	0	0	3744	3744
2017-07-20	Pass	8388	8388	8388	8388	0	0	8388	8388
2017-07-21	Pass	469	469	469	469	0	0	469	469
2017-07-24	Pass	2452	2452	2452	2452	0	0	2452	2452
2017-07-25	Pass	2172	2172	2172	2172	0	0	2172	2172
2017-07-27	Pass	5790	5790	5790	5790	0	0	5790	5790
2017-07-28	Pass	6813	6813	6813	6813	0	0	6813	6813
2017-08-05	Pass	6332	6332	6332	6332	0	0	6332	6332
2017-08-06	Pass	18737	18737	18737	18737	0	0	18737	18737
2017-08-08	Pass	4994	4994	4994	4994	0	0	4994	4994
2017-09-01	Pass	6387	6387	6387	6387	6387	0	6387	6387
2017-09-04	Fail	522	522	522	522	522	0	522	522
2017-09-04	Pass	7870	7870	7870	7870	7870	0	7870	7870
2017-09-05	Pass	3104	3104	3104	3104	3104	0	3104	3104
2017-09-06	Fail	486	486	486	486	486	0	486	486
2017-09-06	Pass	9793	9793	9793	9793	9793	0	9793	9793
2017-09-07	Pass	4717	4717	4717	4717	4717	0	4717	4717
2017-09-08	Pass	8739	8739	8739	8739	8739	0	8739	8739
2017-09-09	Pass	11865	11865	11865	11865	11865	0	11865	11865
2017-09-10	Pass	14707	14707	5675	14707	14707	0	14707	14707
2017-09-11	Fail	1318	1318	1318	1318	1318	1315	1318	1318
2017-09-11	Pass	3545	3545	3545	3545	3545	3526	3545	3545
2017-09-12	Fail	359	359	359	359	359	359	359	359
2017-09-12	Pass	1328	1328	1328	1328	1328	1328	1328	1328
2017-09-13	Pass	6305	6305	6305	6305	6305	6305	6305	6305
2017-09-15	Fail	575	575	575	575	575	575	575	575
2017-09-15	Pass	13089	13089	13089	13089	13089	13089	13089	13089
2017-09-16	Pass	4421	4421	4421	4421	4421	4421	4421	4421
2017-09-17	Pass	2162	2162	2162	2162	2162	2162	2162	2162
2017-09-25	Pass	38710	38710	38710	38710	38710	38710	38710	38710
2017-09-26	Pass	16541	16541	16359	16541	16541	16541	16541	16541
2017-09-29	Fail	369	369	369	369	369	369	369	369
2017-09-29	Pass	1215	1215	1215	1215	1215	1215	1215	1215
2017-09-30	Fail	285	285	285	285	285	285	285	285
2017-10-01	Pass	610	610	610	610	610	610	610	610
2017-10-03	Fail	541	541	541	541	541	541	541	541
2017-10-03	Pass	642	642	642	642	642	642	642	642
2017-10-09	Fail	375	375	375	375	375	375	375	375
2017-10-26	Fail	321	321	321	321	321	321	321	321
2017-10-26	Pass	701	701	701	701	701	701	701	701
2017-11-12	Fail	1041	1041	1041	1041	1041	1041	1041	1041
2017-11-12	Pass	3309	3309	3309	3309	3309	3309	3309	3309
2017-11-24	Fail	490	490	490	490	490	490	490	490
2017-11-24	Pass	1265	1265	1265	1265	1265	1265	1265	1265
2017-11-25	Pass	452	452	452	452	452	452	452	452
2017-11-26	Pass	2173	2173	2173	2173	2173	2173	2173	2173
2017-11-29	Pass	462	462	462	462	462	462	462	462
